epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2256,0.9132,66.93,0.7144,0.5724,0.9552,0.7217,0.7147,0.5574,0.7649,0.4842,0.9453,0.7324,0.7115,0.4371,0.6908
2,0.8126,0.7151,74.12,0.8136,0.7919,0.9751,0.7882,0.7749,0.7068,0.8446,0.6899,0.8267,0.7127,0.6264,0.7425,0.8555
3,0.6623,0.6015,78.91,0.8656,0.8338,0.9817,0.8372,0.8266,0.8387,0.8757,0.6772,0.9878,0.7831,0.8159,0.6707,0.7948
4,0.5725,0.5424,81.26,0.8881,0.8657,0.9847,0.8478,0.8492,0.8925,0.8886,0.7532,0.8997,0.7155,0.7940,0.8922,0.8266
5,0.5067,0.5173,81.12,0.8957,0.8787,0.9849,0.8643,0.8504,0.8985,0.8972,0.8892,0.9179,0.7324,0.7747,0.8952,0.6763
6,0.4574,0.5030,82.29,0.9020,0.8839,0.9847,0.8680,0.8451,0.9125,0.9176,0.8354,0.9787,0.7746,0.7363,0.9222,0.7081
7,0.4136,0.4933,82.39,0.8985,0.8963,0.9877,0.8496,0.8355,0.9154,0.9061,0.6994,0.9453,0.7324,0.8819,0.8024,0.8757
8,0.3689,0.4826,84.10,0.8998,0.8961,0.9854,0.8474,0.8486,0.9169,0.9044,0.7532,0.9909,0.7803,0.8654,0.8293,0.8266
9,0.3209,0.4677,84.20,0.9123,0.9013,0.9802,0.8835,0.8764,0.9262,0.9063,0.7785,0.8875,0.7859,0.8407,0.8323,0.9249
10,0.2857,0.4550,85.03,0.9136,0.9056,0.9871,0.8778,0.8646,0.9356,0.9107,0.7753,0.9726,0.8563,0.7830,0.8802,0.8382
11,0.2415,0.5076,84.00,0.9055,0.8971,0.9876,0.8680,0.8517,0.9172,0.9113,0.7089,0.9696,0.8535,0.7390,0.8772,0.8931
12,0.2047,0.4449,85.71,0.9175,0.9018,0.9884,0.8869,0.8816,0.9386,0.9080,0.8228,0.9757,0.8535,0.8242,0.8293,0.8410
13,0.1729,0.4506,86.01,0.9190,0.9094,0.9881,0.8805,0.8779,0.9462,0.9117,0.8576,0.9544,0.8028,0.8242,0.8743,0.8555
14,0.1452,0.4723,85.18,0.9139,0.8982,0.9854,0.8773,0.8797,0.9469,0.8958,0.8228,0.8997,0.8085,0.8489,0.9012,0.8324
15,0.1225,0.4905,84.83,0.9093,0.9000,0.9877,0.8614,0.8699,0.9362,0.9007,0.8038,0.9848,0.8113,0.8214,0.8802,0.7948
16,0.0938,0.7461,78.28,0.8877,0.8576,0.9754,0.8402,0.8636,0.9239,0.8652,0.7532,0.9939,0.7352,0.9066,0.7784,0.5318
17,0.0774,0.5270,84.83,0.9090,0.8966,0.9881,0.8654,0.8743,0.9437,0.8859,0.8070,0.9909,0.7887,0.8297,0.8683,0.8121
18,0.0653,0.5119,84.44,0.9133,0.8969,0.9895,0.8724,0.8735,0.9465,0.9012,0.8323,0.9787,0.8028,0.8324,0.8623,0.7659
19,0.0662,0.5943,83.61,0.9030,0.8880,0.9847,0.8550,0.8691,0.9348,0.8865,0.6899,0.9818,0.8479,0.8159,0.7904,0.8844
20,0.0463,0.5444,85.03,0.9111,0.8981,0.9876,0.8681,0.8732,0.9449,0.8945,0.7722,0.9848,0.8225,0.8297,0.8653,0.8295
21,0.0511,0.5628,84.39,0.9135,0.8915,0.9891,0.8726,0.8815,0.9442,0.9020,0.8386,0.9848,0.7577,0.8791,0.8713,0.7399
22,0.0444,0.5236,85.57,0.9151,0.8964,0.9892,0.8726,0.8784,0.9536,0.9003,0.8386,0.9726,0.8310,0.8159,0.8832,0.8006
23,0.0325,0.6045,84.15,0.9049,0.8885,0.9889,0.8569,0.8562,0.9443,0.8947,0.8703,0.9909,0.7972,0.8352,0.8383,0.7283
24,0.0319,0.5437,85.91,0.9138,0.8976,0.9884,0.8673,0.8767,0.9496,0.9031,0.7943,0.9848,0.8394,0.7995,0.8862,0.8555
25,0.0276,0.5776,84.39,0.9095,0.8969,0.9890,0.8601,0.8688,0.9483,0.8943,0.8228,0.9787,0.8338,0.7775,0.8623,0.7977
